product_id,product_name,brand,category,subcategory,price_eur,pack_size,private_label,shade_group,seasonality,attributes,launch_season,shelf_space_cm,supplier,ean
HC0123,Syoss Root Retoucher Warm Auburn,Syoss,Beauty > Hair Coloration,Permanent Color,7.61,1 kit,False,Auburn,Evergreen,ammonia-free; oil-infused,2024-Q3,12,Indie Color Imports,4036051672159
HC0124,Syoss Oleo Intense Honey Blonde,Syoss,Beauty > Hair Coloration,Toner / Gloss,6.39,2 x 1 kit,False,Blonde,Evergreen,clear gloss; shine boost,2024-Q1,4,Labo Natural,4049422696592
HC0125,Garnier Movida Blue Black,Garnier,Beauty > Hair Coloration,Color Care Add-on,11.68,300 ml,False,Black,Evergreen,colour safe; mask,2024-Q1,5,Henkel Beauty Care,4024070066913
HC0126,Kristin Ess Hair Gloss Espresso Brown,Kristin Ess,Beauty > Hair Coloration,Permanent Color,34.82,150 ml,False,Dark Brown,Evergreen,oil-infused; multi-application,2024-Q2,8,SalonPro Distribution,4079596750263
HC0127,got2b Color Pop Sunlit Peach,got2b,Beauty > Hair Coloration,Men's Color,12.23,60 ml,False,Summer,Summer,beard compatible; 5 minute,2024-Q1,6,SalonPro Distribution,4085945344211
HC0128,dpHUE Color Boosting Gloss Honey Blonde,dpHUE,Beauty > Hair Coloration,Color Care Add-on,21.8,300 ml,False,Blonde,Evergreen,sulfate-free; colour safe,2024-Q4,6,Coty DACH,4071933986624
HC0129,Crazy Color Rainbow Care Coral Rose,Crazy Color,Beauty > Hair Coloration,Bleach / Lightener,12.99,100 ml,False,Summer,Summer,developer included; blue powder,2025-Q2,4,SalonPro Distribution,4037021858882
HC0130,Kristin Ess Signature Gloss Cool Ash Blonde,Kristin Ess,Beauty > Hair Coloration,Permanent Color,25.26,200 ml,False,Ash Blonde,Evergreen,oil-infused; ammonia-free,2024-Q1,5,Henkel Beauty Care,4098131098909
HC0131,Naturtint Root Retouch Pearl Blonde,Naturtint,Beauty > Hair Coloration,Permanent Color,4.51,200 ml,False,Ash Blonde,Evergreen,ammonia-free; salon inspired,2024-Q4,10,P&G Beauty,4097371628414
HC0132,Madison Reed Radiant Hair Color Hazelnut Brown,Madison Reed,Beauty > Hair Coloration,Permanent Color,20.19,100 ml,False,Medium Brown,Evergreen,ammonia-free; salon inspired,2025-Q3,6,SalonPro Distribution,4089397402773
HC0133,Kristin Ess Signature Gloss Icy Plum,Kristin Ess,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,32.17,100 ml,False,Winter,Winter,no peroxide; high pigment,2025-Q2,10,SalonPro Distribution,4086630410813
HC0134,dpHUE Root Touch-Up Kit Blue Black,dpHUE,Beauty > Hair Coloration,Permanent Color,21.41,60 ml,False,Black,Evergreen,salon inspired; grey coverage,2024-Q4,6,Labo Natural,4029616196523
HC0135,Directions Colour Kit Light Golden Brown,Directions,Beauty > Hair Coloration,Permanent Color,16.1,150 ml,False,Light Brown,Evergreen,salon inspired; multi-application,2024-Q3,5,Beauty Direct EU,4047749617358
HC0136,eSalon Custom Color Set Sunlit Peach,eSalon,Beauty > Hair Coloration,Bleach / Lightener,32.7,100 ml,False,Summer,Summer,up to 8 levels; developer included,2024-Q4,6,Coty DACH,4052823933720
HC0137,Manic Panic Classic Cream Smoky Blonde,Manic Panic,Beauty > Hair Coloration,Permanent Color,8.48,2 x 1 kit,False,Ash Blonde,Evergreen,multi-application; oil-infused,2025-Q3,4,Beauty Direct EU,4057881748550
HC0138,Syoss Root Retoucher Mocha Brown,Syoss,Beauty > Hair Coloration,Color Care Add-on,8.4,250 ml,False,Dark Brown,Evergreen,sulfate-free; colour safe,2024-Q4,5,P&G Beauty,4050953873332
HC0139,ZenBeauty Private Label Color Studio Deep Auburn,ZenBeauty Private Label,Beauty > Hair Coloration,Permanent Color,5.36,60 ml,True,Auburn,Evergreen,ammonia-free; multi-application,2024-Q2,5,Own Brand Sourcing GmbH,4032134048679
HC0140,Schwarzkopf Blonde Espresso Brown,Schwarzkopf,Beauty > Hair Coloration,Root Touch-Up,7.75,200 ml,False,Dark Brown,Evergreen,brush-on; temporary,2024-Q1,4,Coty DACH,4057217895657
HC0141,Kristin Ess Signature Gloss Pearl Blonde,Kristin Ess,Beauty > Hair Coloration,Bleach / Lightener,25.34,150 ml,False,Ash Blonde,Evergreen,up to 8 levels; developer included,2024-Q2,8,Indie Color Imports,4058363080647
HC0142,John Frieda Precision Foam Spiced Copper,John Frieda,Beauty > Hair Coloration,Permanent Color,14.36,60 ml,False,Copper,Evergreen,oil-infused; multi-application,2024-Q2,10,Coty DACH,4017332086349
HC0143,Crazy Color Platinum Toner Mocha Brown,Crazy Color,Beauty > Hair Coloration,Permanent Color,11.32,1 kit,False,Dark Brown,Evergreen,salon inspired; multi-application,2024-Q3,6,SalonPro Distribution,4057880055815
HC0144,Arctic Fox Resurrected Smoky Blonde,Arctic Fox,Beauty > Hair Coloration,Bleach / Lightener,5.52,150 ml,False,Ash Blonde,Evergreen,up to 8 levels; blue powder,2025-Q1,5,Labo Natural,4050946684733
HC0145,Wella Koleston Light Blonde,Wella,Beauty > Hair Coloration,Root Touch-Up,13.92,1 kit,False,Blonde,Evergreen,10 minute; brush-on,2024-Q1,8,Henkel Beauty Care,4078423419990
HC0146,Crazy Color Platinum Toner Smoky Blonde,Crazy Color,Beauty > Hair Coloration,Permanent Color,17.21,200 ml,False,Ash Blonde,Evergreen,oil-infused; multi-application,2024-Q2,8,Beauty Direct EU,4056934592109
HC0147,John Frieda Go Blonder Pastel Pink,John Frieda,Beauty > Hair Coloration,Permanent Color,18.77,200 ml,False,Pastel,Evergreen,ammonia-free; oil-infused,2024-Q1,12,Coty DACH,4055128978158
HC0148,Arctic Fox Bleach Please Dark Blonde,Arctic Fox,Beauty > Hair Coloration,Root Touch-Up,14.43,200 ml,False,Blonde,Evergreen,brush-on; spray,2025-Q2,6,SalonPro Distribution,4054848501766
HC0149,dpHUE Gloss+ Spiced Copper,dpHUE,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,26.68,2 x 1 kit,False,Copper,Evergreen,vegan; no peroxide,2024-Q1,12,SalonPro Distribution,4027352015423
HC0150,ZenBeauty Private Label Color Studio Cool Ash Blonde,ZenBeauty Private Label,Beauty > Hair Coloration,Toner / Gloss,7.31,1 kit,True,Ash Blonde,Evergreen,brass neutralising; shine boost,2025-Q2,10,Own Brand Sourcing GmbH,4049156684701
HC0151,Clairol Nice'n Easy Hazelnut Brown,Clairol,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,11.49,150 ml,False,Medium Brown,Evergreen,vegan; no peroxide,2024-Q4,10,Henkel Beauty Care,4043676309928
HC0152,eSalon Camo Mist Burgundy Red,eSalon,Beauty > Hair Coloration,Permanent Color,34.28,150 ml,False,Red,Evergreen,ammonia-free; grey coverage,2024-Q3,4,Labo Natural,4015696700618
HC0153,Crazy Color Semi Permanent Icy Plum,Crazy Color,Beauty > Hair Coloration,Toner / Gloss,7.98,60 ml,False,Winter,Winter,bonding; shine boost,2025-Q2,5,Indie Color Imports,4081225295686
HC0154,Bleach London White Toner Ultra Violet,Bleach London,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,12.64,150 ml,False,Vivid,Evergreen,direct dye; vegan,2025-Q3,6,Coty DACH,4010840592447
HC0155,eSalon Tint Rinse Dark Blonde,eSalon,Beauty > Hair Coloration,Root Touch-Up,33.34,200 ml,False,Blonde,Evergreen,10 minute; grey coverage,2025-Q1,8,Henkel Beauty Care,4022702897072
HC0156,Arctic Fox Resurrected Honey Blonde,Arctic Fox,Beauty > Hair Coloration,Root Touch-Up,12.18,1 kit,False,Blonde,Evergreen,grey coverage; spray,2024-Q4,5,Indie Color Imports,4055056205648
HC0157,Naturtint Root Retouch Chestnut Brown,Naturtint,Beauty > Hair Coloration,Root Touch-Up,10.47,2 x 1 kit,False,Medium Brown,Evergreen,spray; brush-on,2025-Q1,10,Indie Color Imports,4018346848759
HC0158,Syoss Gloss Sensation Pearl Silver,Syoss,Beauty > Hair Coloration,Toner / Gloss,8.64,150 ml,False,Silver/Grey,Evergreen,shine boost; clear gloss,2024-Q3,8,SalonPro Distribution,4069501635392
HC0159,Arctic Fox Resurrected Burgundy Red,Arctic Fox,Beauty > Hair Coloration,Permanent Color,13.87,200 ml,False,Red,Evergreen,grey coverage; oil-infused,2024-Q4,6,P&G Beauty,4048707064726
HC0160,Herbatint Royal Cream Lavender Mist,Herbatint,Beauty > Hair Coloration,Bleach / Lightener,15.2,150 ml,False,Pastel,Evergreen,up to 8 levels; bond builder,2024-Q3,6,P&G Beauty,4074327974147
HC0161,eSalon Custom Color Set Icy Plum,eSalon,Beauty > Hair Coloration,Root Touch-Up,33.91,150 ml,False,Winter,Winter,10 minute; brush-on,2025-Q1,4,Beauty Direct EU,4073942635045
HC0162,Herbatint Vegetal Color Graphite,Herbatint,Beauty > Hair Coloration,Bleach / Lightener,12.18,150 ml,False,Silver/Grey,Evergreen,developer included; up to 8 levels,2024-Q4,8,SalonPro Distribution,4032714510152
HC0163,Crazy Color Semi Permanent Pearl Blonde,Crazy Color,Beauty > Hair Coloration,Toner / Gloss,9.13,2 x 1 kit,False,Ash Blonde,Evergreen,shine boost; brass neutralising,2025-Q2,8,Beauty Direct EU,4028958817952
HC0164,ZenBeauty Private Label Gloss Lab Hazelnut Brown,ZenBeauty Private Label,Beauty > Hair Coloration,Root Touch-Up,8.1,150 ml,True,Medium Brown,Evergreen,grey coverage; 10 minute,2025-Q3,10,Own Brand Sourcing GmbH,4021158048912
HC0165,Madison Reed Radiant Hair Color Pearl Blonde,Madison Reed,Beauty > Hair Coloration,Toner / Gloss,32.14,100 ml,False,Ash Blonde,Evergreen,colour refresh; brass neutralising,2024-Q2,6,Coty DACH,4082445471767
HC0166,Syoss Gloss Sensation Dark Blonde,Syoss,Beauty > Hair Coloration,Permanent Color,8.91,1 kit,False,Blonde,Evergreen,salon inspired; oil-infused,2024-Q1,10,P&G Beauty,4064787092687
HC0167,Bleach London Total Bleach Cool Ash Blonde,Bleach London,Beauty > Hair Coloration,Permanent Color,11.55,150 ml,False,Ash Blonde,Evergreen,multi-application; oil-infused,2024-Q1,8,Henkel Beauty Care,4067008513357
HC0168,Revlon Colorsilk Caramel Brown,Revlon,Beauty > Hair Coloration,Permanent Color,8.5,100 ml,False,Medium Brown,Evergreen,grey coverage; multi-application,2025-Q1,8,Coty DACH,4090359899007
HC0169,ZenBeauty Private Label Root Fix Mulled Wine,ZenBeauty Private Label,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,4.17,150 ml,True,Winter,Winter,wash-out; direct dye,2025-Q3,5,Own Brand Sourcing GmbH,4032330641202
HC0170,Crazy Color Platinum Toner Mocha Brown,Crazy Color,Beauty > Hair Coloration,Permanent Color,15.16,2 x 1 kit,False,Dark Brown,Evergreen,multi-application; ammonia-free,2024-Q4,6,Beauty Direct EU,4076803349768
HC0171,Crazy Color Platinum Toner Apricot Copper,Crazy Color,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,7.01,150 ml,False,Copper,Evergreen,wash-out; direct dye,2025-Q3,6,Henkel Beauty Care,4090893927459
HC0172,Arctic Fox Resurrected Blue Black,Arctic Fox,Beauty > Hair Coloration,Permanent Color,6.77,2 x 1 kit,False,Black,Evergreen,salon inspired; grey coverage,2024-Q4,10,P&G Beauty,4073307199576
HC0173,ZenBeauty Private Label Gloss Lab Espresso Brown,ZenBeauty Private Label,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,6.02,2 x 1 kit,True,Dark Brown,Evergreen,wash-out; vegan,2024-Q2,4,Own Brand Sourcing GmbH,4013398262106
HC0174,Herbatint Permanent Herbal Color Espresso Brown,Herbatint,Beauty > Hair Coloration,Root Touch-Up,14.41,150 ml,False,Dark Brown,Evergreen,temporary; grey coverage,2024-Q3,6,Coty DACH,4099482392629
HC0175,dpHUE Root Touch-Up Kit Silver Grey,dpHUE,Beauty > Hair Coloration,Bleach / Lightener,25.09,100 ml,False,Silver/Grey,Evergreen,bond builder; developer included,2024-Q1,12,Labo Natural,4067070189837
HC0176,Crazy Color Platinum Toner Pearl Blonde,Crazy Color,Beauty > Hair Coloration,Permanent Color,6.73,1 kit,False,Ash Blonde,Evergreen,multi-application; salon inspired,2024-Q4,12,Coty DACH,4042834105189
HC0177,got2b Bright/Pastel Cool Ash Blonde,got2b,Beauty > Hair Coloration,Permanent Color,6.22,200 ml,False,Ash Blonde,Evergreen,grey coverage; oil-infused,2024-Q1,6,Henkel Beauty Care,4022758738654
HC0178,ZenBeauty Private Label Color Studio Blue Black,ZenBeauty Private Label,Beauty > Hair Coloration,Root Touch-Up,8.91,200 ml,True,Black,Evergreen,grey coverage; spray,2025-Q1,12,Own Brand Sourcing GmbH,4088863156592
HC0179,ZenBeauty Private Label Nature Color Soft Black,ZenBeauty Private Label,Beauty > Hair Coloration,Permanent Color,7.89,1 kit,True,Black,Evergreen,grey coverage; oil-infused,2024-Q4,10,Own Brand Sourcing GmbH,4097007067520
HC0180,ZenBeauty Private Label Color Studio Spiced Copper,ZenBeauty Private Label,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,8.73,150 ml,True,Copper,Evergreen,direct dye; wash-out,2025-Q2,8,Own Brand Sourcing GmbH,4026399391165
HC0181,eSalon Camo Mist Hazelnut Brown,eSalon,Beauty > Hair Coloration,Root Touch-Up,20.48,60 ml,False,Medium Brown,Evergreen,brush-on; spray,2025-Q1,12,P&G Beauty,4012470738735
HC0182,Herbatint Royal Cream Chestnut Brown,Herbatint,Beauty > Hair Coloration,Permanent Color,6.23,1 kit,False,Medium Brown,Evergreen,salon inspired; multi-application,2024-Q3,5,Beauty Direct EU,4016793154342
HC0183,Kristin Ess Signature Gloss Dark Blonde,Kristin Ess,Beauty > Hair Coloration,Permanent Color,19.51,100 ml,False,Blonde,Evergreen,grey coverage; multi-application,2024-Q3,8,Coty DACH,4057826597123
HC0184,Herbatint Vegetal Color Beach Blonde,Herbatint,Beauty > Hair Coloration,Permanent Color,7.54,100 ml,False,Summer,Summer,grey coverage; salon inspired,2024-Q1,6,Coty DACH,4067385760044
HC0185,Directions Pastel Toner Honey Blonde,Directions,Beauty > Hair Coloration,Toner / Gloss,11.99,200 ml,False,Blonde,Evergreen,clear gloss; colour refresh,2024-Q3,4,SalonPro Distribution,4049899628574
HC0186,Bleach London Total Bleach Electric Blue,Bleach London,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,17.07,60 ml,False,Vivid,Evergreen,direct dye; no peroxide,2025-Q2,4,Indie Color Imports,4037976843575
HC0187,Manic Panic High Voltage Pastel Pink,Manic Panic,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,9.04,2 x 1 kit,False,Pastel,Evergreen,direct dye; no peroxide,2025-Q2,5,Beauty Direct EU,4026169217766
HC0188,Wella Color Fresh Light Golden Brown,Wella,Beauty > Hair Coloration,Permanent Color,11.36,100 ml,False,Light Brown,Evergreen,multi-application; salon inspired,2025-Q3,5,Indie Color Imports,4055284899660
HC0189,Directions Pastel Toner Burgundy Red,Directions,Beauty > Hair Coloration,Root Touch-Up,12.31,200 ml,False,Red,Evergreen,spray; brush-on,2024-Q3,12,Beauty Direct EU,4052090152105
HC0190,Schwarzkopf Live Mahogany Auburn,Schwarzkopf,Beauty > Hair Coloration,Permanent Color,4.61,150 ml,False,Auburn,Evergreen,oil-infused; grey coverage,2025-Q2,12,P&G Beauty,4060201066578
HC0191,Naturtint Reflex Dark Blonde,Naturtint,Beauty > Hair Coloration,Permanent Color,8.43,200 ml,False,Blonde,Evergreen,salon inspired; ammonia-free,2025-Q1,10,Henkel Beauty Care,4010617262027
HC0192,Revlon Colorsilk Caramel Brown,Revlon,Beauty > Hair Coloration,Color Care Add-on,7.87,150 ml,False,Medium Brown,Evergreen,colour safe; bond repair,2025-Q1,6,Coty DACH,4067917200288
HC0193,Revlon Total Color Ruby Red,Revlon,Beauty > Hair Coloration,Permanent Color,8.1,200 ml,False,Red,Evergreen,ammonia-free; salon inspired,2024-Q2,4,P&G Beauty,4028115640413
HC0194,Naturtint Root Retouch Hazelnut Brown,Naturtint,Beauty > Hair Coloration,Root Touch-Up,18.6,2 x 1 kit,False,Medium Brown,Evergreen,temporary; 10 minute,2024-Q2,5,Indie Color Imports,4094003784481
HC0195,ZenBeauty Private Label Nature Color Sunlit Peach,ZenBeauty Private Label,Beauty > Hair Coloration,Permanent Color,4.53,200 ml,True,Summer,Summer,salon inspired; oil-infused,2025-Q2,10,Own Brand Sourcing GmbH,4086648285949
HC0196,John Frieda Go Blonder Peach Sorbet,John Frieda,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,17.75,150 ml,False,Pastel,Evergreen,direct dye; no peroxide,2025-Q1,12,SalonPro Distribution,4066324058249
HC0197,Wella Shinefinity Pastel Pink,Wella,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,13.15,100 ml,False,Pastel,Evergreen,high pigment; wash-out,2024-Q1,4,Labo Natural,4030696780593
HC0198,Crazy Color Semi Permanent Lavender Mist,Crazy Color,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,5.52,200 ml,False,Pastel,Evergreen,no peroxide; vegan,2024-Q4,6,Henkel Beauty Care,4028737089314
HC0199,ZenBeauty Private Label Nature Color Dark Blonde,ZenBeauty Private Label,Beauty > Hair Coloration,Toner / Gloss,4.96,150 ml,True,Blonde,Evergreen,colour refresh; clear gloss,2025-Q3,8,Own Brand Sourcing GmbH,4081286358108
HC0200,Revlon Total Color Lavender Mist,Revlon,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,16.74,60 ml,False,Pastel,Evergreen,vegan; no peroxide,2024-Q3,5,Beauty Direct EU,4051703680974
HC0201,Goldwell Topchic Espresso Brown,Goldwell,Beauty > Hair Coloration,Permanent Color,15.4,2 x 1 kit,False,Dark Brown,Evergreen,grey coverage; ammonia-free,2025-Q2,4,Henkel Beauty Care,4028134888874
HC0202,eSalon Camo Mist Dark Blonde,eSalon,Beauty > Hair Coloration,Toner / Gloss,23.8,1 kit,False,Blonde,Evergreen,bonding; shine boost,2025-Q2,5,Beauty Direct EU,4043019911107
HC0203,Madison Reed Root Touch Up Hazelnut Brown,Madison Reed,Beauty > Hair Coloration,Root Touch-Up,19.8,200 ml,False,Medium Brown,Evergreen,10 minute; temporary,2024-Q2,5,P&G Beauty,4066172180590
HC0204,Crazy Color Semi Permanent Pearl Blonde,Crazy Color,Beauty > Hair Coloration,Root Touch-Up,10.22,100 ml,False,Ash Blonde,Evergreen,brush-on; 10 minute,2025-Q3,4,SalonPro Distribution,4010333870589
HC0205,Madison Reed Color Reviving Gloss Caramel Brown,Madison Reed,Beauty > Hair Coloration,Permanent Color,22.73,1 kit,False,Medium Brown,Evergreen,oil-infused; ammonia-free,2024-Q4,8,Beauty Direct EU,4035952412640
HC0206,eSalon Custom Color Set Dark Blonde,eSalon,Beauty > Hair Coloration,Permanent Color,28.96,60 ml,False,Blonde,Evergreen,multi-application; ammonia-free,2024-Q1,12,Henkel Beauty Care,4089514787657
HC0207,Schwarzkopf Poly Palette Silver Grey,Schwarzkopf,Beauty > Hair Coloration,Permanent Color,18.65,150 ml,False,Silver/Grey,Evergreen,grey coverage; ammonia-free,2024-Q4,4,Henkel Beauty Care,4048261841985
HC0208,dpHUE Root Touch-Up Kit Deep Auburn,dpHUE,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,19.98,150 ml,False,Auburn,Evergreen,direct dye; high pigment,2024-Q1,6,Henkel Beauty Care,4012867261857
HC0209,Herbatint Vegetal Color Burgundy Red,Herbatint,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,6.4,150 ml,False,Red,Evergreen,direct dye; no peroxide,2024-Q1,4,Beauty Direct EU,4095556169745
HC0210,Wella Color Fresh Sunlit Peach,Wella,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,21.71,2 x 1 kit,False,Summer,Summer,no peroxide; direct dye,2025-Q1,5,Coty DACH,4011509825605
HC0211,Goldwell Topchic Cool Ash Blonde,Goldwell,Beauty > Hair Coloration,Permanent Color,22.84,100 ml,False,Ash Blonde,Evergreen,grey coverage; salon inspired,2024-Q2,12,Henkel Beauty Care,4048404931748
HC0212,Wella Shinefinity Mulled Wine,Wella,Beauty > Hair Coloration,Permanent Color,23.42,60 ml,False,Winter,Winter,oil-infused; ammonia-free,2024-Q3,6,Indie Color Imports,4094733494602
HC0213,Herbatint Royal Cream Light Golden Brown,Herbatint,Beauty > Hair Coloration,Root Touch-Up,15.58,150 ml,False,Light Brown,Evergreen,spray; grey coverage,2025-Q1,10,Coty DACH,4023178407246
HC0214,Kristin Ess Signature Gloss Mushroom Brown,Kristin Ess,Beauty > Hair Coloration,Root Touch-Up,33.11,200 ml,False,Light Brown,Evergreen,grey coverage; spray,2025-Q1,4,Beauty Direct EU,4038041148890
HC0215,Kristin Ess Signature Gloss Chocolate Brown,Kristin Ess,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,21.58,200 ml,False,Dark Brown,Evergreen,vegan; high pigment,2024-Q2,6,SalonPro Distribution,4086252926140
HC0216,Herbatint Vegetal Color Pearl Blonde,Herbatint,Beauty > Hair Coloration,Permanent Color,13.19,150 ml,False,Ash Blonde,Evergreen,ammonia-free; salon inspired,2025-Q2,4,Henkel Beauty Care,4039739350430
HC0217,Syoss Root Retoucher Mocha Brown,Syoss,Beauty > Hair Coloration,Root Touch-Up,13.12,200 ml,False,Dark Brown,Evergreen,spray; 10 minute,2025-Q3,12,Indie Color Imports,4059283527832
HC0218,Naturtint Permanent Hair Color Almond Brown,Naturtint,Beauty > Hair Coloration,Permanent Color,6.07,1 kit,False,Light Brown,Evergreen,grey coverage; oil-infused,2025-Q1,5,SalonPro Distribution,4026998397094
HC0219,Crazy Color Semi Permanent Pearl Silver,Crazy Color,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,18.69,60 ml,False,Silver/Grey,Evergreen,no peroxide; wash-out,2025-Q3,6,Coty DACH,4065754263796
HC0220,Crazy Color Semi Permanent Ultra Violet,Crazy Color,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,14.99,100 ml,False,Vivid,Evergreen,no peroxide; high pigment,2024-Q2,10,Labo Natural,4066811912761
HC0221,Manic Panic Classic Cream Light Blonde,Manic Panic,Beauty > Hair Coloration,Bleach / Lightener,9.06,200 ml,False,Blonde,Evergreen,cream bleach; blue powder,2025-Q3,6,Henkel Beauty Care,4070660466257
HC0222,Goldwell Topchic Warm Auburn,Goldwell,Beauty > Hair Coloration,Permanent Color,16.78,200 ml,False,Auburn,Evergreen,salon inspired; grey coverage,2025-Q1,5,Henkel Beauty Care,4084252559679
HC0223,John Frieda Defy Grey Mushroom Brown,John Frieda,Beauty > Hair Coloration,Permanent Color,15.65,2 x 1 kit,False,Light Brown,Evergreen,ammonia-free; multi-application,2024-Q1,4,SalonPro Distribution,4075833754399
HC0224,Schwarzkopf Live Mahogany Auburn,Schwarzkopf,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,8.5,60 ml,False,Auburn,Evergreen,direct dye; wash-out,2024-Q4,6,Henkel Beauty Care,4093566945742
HC0225,ZenBeauty Private Label Color Studio Graphite,ZenBeauty Private Label,Beauty > Hair Coloration,Permanent Color,4.24,100 ml,True,Silver/Grey,Evergreen,oil-infused; grey coverage,2025-Q2,6,Own Brand Sourcing GmbH,4073741996956
HC0226,Wella Shinefinity Sunlit Peach,Wella,Beauty > Hair Coloration,Toner / Gloss,21.72,200 ml,False,Summer,Summer,shine boost; clear gloss,2025-Q1,8,Coty DACH,4069508342425
HC0227,Directions Pastel Toner Mocha Brown,Directions,Beauty > Hair Coloration,Root Touch-Up,5.98,150 ml,False,Dark Brown,Evergreen,temporary; brush-on,2025-Q3,4,Coty DACH,4077870947549
HC0228,Bleach London White Toner Cool Ash Blonde,Bleach London,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,12.82,200 ml,False,Ash Blonde,Evergreen,vegan; wash-out,2024-Q3,5,SalonPro Distribution,4077319999921
HC0229,John Frieda Defy Grey Icy Plum,John Frieda,Beauty > Hair Coloration,Toner / Gloss,6.65,200 ml,False,Winter,Winter,shine boost; colour refresh,2024-Q1,8,SalonPro Distribution,4080600923026
HC0230,ZenBeauty Private Label Color Studio Mushroom Brown,ZenBeauty Private Label,Beauty > Hair Coloration,Men's Color,8.09,1 kit,True,Light Brown,Evergreen,beard compatible; grey blending,2025-Q2,12,Own Brand Sourcing GmbH,4023249999511
HC0231,ZenBeauty Private Label Color Studio Ruby Red,ZenBeauty Private Label,Beauty > Hair Coloration,Permanent Color,6.42,2 x 1 kit,True,Red,Evergreen,salon inspired; oil-infused,2024-Q2,8,Own Brand Sourcing GmbH,4035674684563
HC0232,Herbatint Royal Cream Spiced Copper,Herbatint,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,12.73,1 kit,False,Copper,Evergreen,high pigment; vegan,2024-Q3,5,Henkel Beauty Care,4037224215634
HC0233,Bleach London Super Cool Colour Pearl Blonde,Bleach London,Beauty > Hair Coloration,Toner / Gloss,11.29,1 kit,False,Ash Blonde,Evergreen,bonding; brass neutralising,2025-Q3,8,Indie Color Imports,4040592030568
HC0234,ZenBeauty Private Label Root Fix Coral Rose,ZenBeauty Private Label,Beauty > Hair Coloration,Permanent Color,4.37,1 kit,True,Summer,Summer,grey coverage; ammonia-free,2025-Q3,8,Own Brand Sourcing GmbH,4077539221877
HC0235,eSalon Camo Mist Sunlit Peach,eSalon,Beauty > Hair Coloration,Men's Color,22.8,100 ml,False,Summer,Summer,foam; natural finish,2025-Q3,12,P&G Beauty,4090599236732
